iter	Passed	Remaining
0	4	83788
1	6	68790
2	9	60812
3	13	66819
4	15	62536
5	17	57352
6	18	53655
7	20	50647
8	21	48636
9	23	47391
10	25	46257
11	26	44905
12	28	43888
13	30	43268
14	31	42419
15	33	41886
16	34	41139
17	36	40625
18	38	40216
19	39	39870
20	41	39395
21	42	38785
22	44	38322
23	45	37956
24	47	37791
25	48	37454
26	50	37187
27	51	36850
28	53	36561
29	54	36375
30	56	36122
31	57	35848
32	58	35557
33	59	35227
34	61	34971
35	62	34795
36	63	34504
37	65	34243
38	66	33909
39	67	33663
40	68	33458
41	69	33159
42	71	33066
43	72	32867
44	74	32877
45	75	32715
46	76	32501
47	77	32271
48	79	32210
49	80	32045
50	81	32020
51	82	31807
52	84	31628
53	85	31448
54	86	31305
55	87	31153
56	88	31071
57	90	30996
58	91	30880
59	92	30813
60	93	30660
61	95	30672
62	96	30561
63	97	30416
64	98	30324
65	100	30251
66	101	30114
67	102	30055
68	103	29986
69	104	29878
70	106	29778
71	107	29675
72	108	29563
73	109	29517
74	110	29460
75	112	29386
76	113	29344
77	114	29242
78	115	29148
79	116	29093
80	117	28986
81	119	28921
82	120	28956
83	122	28934
84	123	28882
85	124	28837
86	125	28779
87	127	28744
88	128	28672
89	129	28594
90	130	28575
91	131	28520
92	133	28484
93	134	28442
94	135	28368
95	136	28298
96	137	28232
97	138	28156
98	139	28122
99	141	28077
100	142	28010
101	143	27936
102	144	27907
103	145	27854
104	146	27783
105	147	27719
106	148	27683
107	150	27629
108	151	27682
109	152	27637
110	154	27598
111	155	27548
112	156	27482
113	157	27422
114	158	27383
115	159	27377
116	160	27335
117	162	27301
118	163	27283
119	164	27224
120	166	27309
121	167	27280
122	168	27256
123	169	27219
124	171	27199
125	172	27246
126	173	27206
127	175	27175
128	176	27152
129	177	27131
130	178	27088
131	179	27055
132	180	27000
133	181	26955
134	182	26924
135	184	26895
136	185	26870
137	186	26833
138	187	26831
139	188	26792
140	190	26776
141	191	26753
142	192	26711
143	193	26742
144	195	26727
145	196	26685
146	197	26657
147	198	26622
148	199	26608
149	200	26570
150	201	26533
151	203	26513
152	204	26493
153	205	26477
154	206	26447
155	207	26426
156	208	26397
157	209	26363
158	211	26330
159	212	26307
160	213	26290
161	214	26262
162	215	26235
163	216	26216
164	218	26206
165	219	26193
166	220	26195
167	221	26180
168	222	26146
169	224	26144
170	225	26130
171	226	26121
172	227	26110
173	228	26077
174	230	26072
175	231	26055
176	232	26043
177	233	26032
178	234	26006
179	235	25981
180	237	25971
181	238	25945
182	239	25922
183	240	25889
184	241	25875
185	242	25859
186	243	25847
187	245	25835
188	246	25877
189	248	25874
190	249	25858
191	250	25849
192	251	25831
193	253	25831
194	254	25809
195	255	25786
196	256	25763
197	257	25734
198	258	25704
199	259	25675
200	260	25678
201	261	25661
202	263	25651
203	264	25627
204	265	25609
205	266	25577
206	267	25567
207	268	25555
208	269	25541
209	270	25520
210	272	25514
211	273	25496
212	274	25496
213	275	25478
214	276	25466
215	278	25506
216	279	25487
217	280	25459
218	281	25453
219	282	25436
220	284	25424
221	285	25400
222	286	25409
223	287	25389
224	288	25376
225	289	25371
226	291	25358
227	292	25345
228	293	25359
229	294	25350
230	295	25325
231	297	25317
232	298	25292
233	299	25272
234	300	25260
235	301	25263
236	302	25245
237	303	25235
238	305	25228
239	306	25218
240	307	25226
241	308	25208
242	309	25197
243	310	25174
244	312	25166
245	313	25159
246	314	25151
247	315	25138
248	316	25124
249	317	25120
250	319	25107
251	320	25093
252	321	25081
253	322	25076
254	323	25055
255	324	25045
256	325	25035
257	327	25030
258	328	25016
259	329	25007
260	331	25047
261	332	25040
262	333	25026
263	334	25025
264	335	25002
265	336	24991
266	337	24969
267	339	24960
268	339	24938
269	341	24971
270	343	24972
271	344	24960
272	345	24944
273	346	24937
274	347	24934
275	348	24916
276	349	24904
277	350	24899
278	352	24891
279	353	24873
280	354	24867
281	355	24859
282	356	24847
283	357	24830
284	359	24835
285	360	24831
286	361	24821
287	362	24813
288	363	24808
289	364	24800
290	366	24798
291	367	24791
292	368	24780
293	369	24778
294	370	24764
295	371	24748
296	372	24744
297	374	24732
298	375	24726
299	376	24702
300	377	24690
301	378	24682
302	379	24670
303	380	24679
304	382	24672
305	383	24658
306	384	24648
307	385	24630
308	386	24625
309	387	24618
310	388	24609
311	389	24602
312	391	24595
313	392	24586
314	393	24571
315	394	24564
316	395	24551
317	396	24547
318	397	24537
319	398	24523
320	400	24522
321	401	24517
322	402	24503
323	403	24498
324	404	24494
325	405	24486
326	406	24475
327	407	24467
328	409	24460
329	410	24459
330	411	24456
331	412	24454
332	413	24447
333	414	24434
334	416	24423
335	417	24421
336	418	24412
337	419	24403
338	420	24399
339	421	24399
340	423	24388
341	424	24379
342	425	24370
343	426	24360
344	427	24352
345	428	24338
346	429	24349
347	431	24353
348	432	24353
349	433	24348
350	435	24374
351	436	24366
352	437	24370
353	439	24365
354	440	24364
355	441	24352
356	442	24340
357	443	24343
358	444	24341
359	446	24338
360	447	24330
361	448	24320
362	449	24309
363	450	24304
364	451	24294
365	452	24290
366	454	24288
367	455	24278
368	456	24269
369	457	24267
370	458	24258
371	459	24254
372	460	24254
373	462	24252
374	463	24242
375	464	24240
376	465	24233
377	466	24226
378	468	24233
379	469	24231
380	470	24225
381	471	24224
382	472	24220
383	474	24220
384	475	24219
385	476	24209
386	477	24203
387	478	24203
388	479	24195
389	481	24192
390	482	24193
391	483	24184
392	484	24173
393	485	24163
394	486	24152
395	487	24146
396	488	24138
397	490	24137
398	491	24129
399	492	24122
400	493	24121
401	494	24118
402	495	24110
403	497	24107
404	498	24100
405	499	24091
406	500	24081
407	501	24073
408	502	24071
409	503	24066
410	504	24059
411	505	24051
412	507	24047
413	508	24047
414	509	24052
415	510	24042
416	511	24041
417	513	24040
418	514	24034
419	515	24029
420	516	24029
421	517	24024
422	519	24020
423	520	24012
424	521	24010
425	522	23999
426	523	23990
427	524	23994
428	525	23992
429	527	23990
430	528	23986
431	529	23982
432	530	23975
433	531	23967
434	532	23966
435	533	23961
436	535	23951
437	536	23944
438	537	23934
439	538	23928
440	539	23920
441	540	23916
442	541	23909
443	542	23900
444	543	23894
445	544	23882
446	546	23905
447	548	23926
448	549	23917
449	550	23913
450	551	23906
451	552	23897
452	553	23895
453	554	23884
454	555	23874
455	556	23869
456	558	23865
457	559	23865
458	560	23859
459	561	23851
460	562	23846
461	563	23843
462	564	23832
463	565	23826
464	566	23819
465	568	23815
466	569	23806
467	570	23801
468	571	23799
469	572	23795
470	573	23786
471	574	23781
472	575	23777
473	577	23776
474	578	23771
475	579	23768
476	580	23767
477	581	23759
478	582	23755
479	583	23746
480	585	23741
481	586	23741
482	587	23744
483	588	23740
484	589	23739
485	591	23739
486	592	23735
487	593	23726
488	594	23717
489	595	23707
490	596	23710
491	597	23703
492	598	23701
493	600	23698
494	601	23697
495	602	23695
496	603	23691
497	604	23688
498	606	23685
499	607	23681
500	608	23680
501	609	23690
502	610	23682
503	612	23680
504	613	23676
505	614	23674
506	615	23673
507	616	23666
508	617	23663
509	619	23675
510	620	23671
511	621	23665
512	622	23664
513	624	23665
514	625	23663
515	626	23651
516	627	23647
517	628	23646
518	629	23645
519	631	23639
520	632	23632
521	633	23638
522	634	23630
523	635	23634
524	637	23631
525	638	23626
526	639	23622
527	640	23615
528	641	23611
529	643	23631
530	644	23627
531	645	23627
532	646	23622
533	647	23616
534	648	23607
535	649	23603
536	651	23598
537	652	23597
538	653	23594
539	654	23592
540	655	23593
541	657	23590
542	658	23587
543	659	23584
544	660	23575
545	661	23568
546	662	23562
547	663	23565
548	665	23563
549	666	23555
550	667	23550
551	668	23545
552	669	23537
553	670	23531
554	671	23524
555	672	23523
556	673	23523
557	674	23517
558	676	23512
559	677	23512
560	678	23505
561	679	23504
562	680	23502
563	681	23502
564	683	23501
565	684	23494
566	685	23492
567	686	23487
568	687	23485
569	689	23488
570	690	23489
571	691	23479
572	692	23478
573	693	23469
574	694	23468
575	695	23467
576	697	23462
577	698	23462
578	699	23455
579	700	23452
580	701	23450
581	702	23449
582	703	23443
583	705	23439
584	706	23432
585	707	23424
586	708	23425
587	709	23421
588	710	23417
589	711	23411
590	712	23406
591	713	23400
592	714	23393
593	715	23390
594	717	23391
595	718	23391
596	719	23382
597	720	23378
598	721	23373
599	722	23368
600	723	23365
601	724	23357
602	726	23357
603	727	23350
604	728	23347
605	729	23339
606	730	23334
607	731	23327
608	732	23331
609	733	23327
610	735	23328
611	736	23323
612	737	23324
613	738	23321
614	739	23318
615	740	23315
616	742	23315
617	743	23310
618	744	23307
619	745	23301
620	746	23296
621	747	23289
622	748	23286
623	749	23288
624	751	23284
625	752	23283
626	753	23278
627	754	23276
628	755	23279
629	757	23283
630	758	23282
631	759	23279
632	760	23276
633	761	23270
634	762	23267
635	764	23262
636	765	23261
637	766	23257
638	767	23257
639	768	23254
640	769	23252
641	771	23250
642	772	23246
643	773	23246
644	774	23242
645	775	23238
646	777	23242
647	778	23239
648	779	23235
649	780	23234
650	781	23233
651	782	23229
652	784	23229
653	785	23230
654	787	23250
655	788	23245
656	789	23242
657	790	23241
658	791	23236
659	792	23231
660	794	23231
661	795	23240
662	797	23256
663	798	23252
